timestamp,message
1654510733000,[Worker-07c5123593e55895a] 	access.control.allow.origin =
1654510733000,[Worker-07c5123593e55895a] 	admin.listeners = null
1654510733000,"[Worker-07c5123593e55895a] 	bootstrap.servers = [b-1.demo-cluster-1.s1k0n1.c9.kafka.eu-west-1.amazonaws.com:9094, b-3.demo-cluster-1.s1k0n1.c9.kafka.eu-west-1.amazonaws.com:9094, b-2.demo-cluster-1.s1k0n1.c9.kafka.eu-west-1.amazonaws.com:9094]"
1654510733000,[Worker-07c5123593e55895a] 	client.dns.lookup = use_all_dns_ips
1654510733000,[Worker-07c5123593e55895a] 	client.id =
1654510733000,[Worker-07c5123593e55895a] 	config.providers = []
1654510733000,[Worker-07c5123593e55895a] 	config.storage.replication.factor = 2
1654510733000,[Worker-07c5123593e55895a] 	config.storage.topic = __amazon_msk_connect_configs_mongo-source_e153fd39-9a2f-406d-ae01-15e3d94e54e2-2
1654510733000,[Worker-07c5123593e55895a] 	connect.protocol = sessioned
1654510733000,[Worker-07c5123593e55895a] 	connections.max.idle.ms = 540000
1654510733000,[Worker-07c5123593e55895a] 	connector.client.config.override.policy = None
1654510733000,[Worker-07c5123593e55895a] 	group.id = __amazon_msk_connect_cluster_mongo-source_e153fd39-9a2f-406d-ae01-15e3d94e54e2-2
1654510733000,[Worker-07c5123593e55895a] 	header.converter = class org.apache.kafka.connect.storage.SimpleHeaderConverter
1654510733000,[Worker-07c5123593e55895a] 	heartbeat.interval.ms = 3000
1654510733000,[Worker-07c5123593e55895a] 	inter.worker.key.generation.algorithm = HmacSHA256
1654510733000,[Worker-07c5123593e55895a] 	inter.worker.key.size = null
1654510733000,[Worker-07c5123593e55895a] 	inter.worker.key.ttl.ms = 3600000
1654510733000,[Worker-07c5123593e55895a] 	inter.worker.signature.algorithm = HmacSHA256
1654510733000,[Worker-07c5123593e55895a] 	inter.worker.verification.algorithms = [HmacSHA256]
1654510733000,[Worker-07c5123593e55895a] 	internal.key.converter = class org.apache.kafka.connect.json.JsonConverter
1654510733000,[Worker-07c5123593e55895a] 	internal.value.converter = class org.apache.kafka.connect.json.JsonConverter
1654510733000,[Worker-07c5123593e55895a] 	key.converter = class org.apache.kafka.connect.storage.StringConverter
1654510733000,"[Worker-07c5123593e55895a] 	listeners = [http://0.0.0.0:8083, https://0.0.0.0:8443]"
1654510733000,[Worker-07c5123593e55895a] 	metadata.max.age.ms = 300000
1654510733000,[Worker-07c5123593e55895a] 	metric.reporters = []
1654510733000,[Worker-07c5123593e55895a] 	metrics.num.samples = 2
1654510733000,[Worker-07c5123593e55895a] 	metrics.recording.level = INFO
1654510733000,[Worker-07c5123593e55895a] 	metrics.sample.window.ms = 30000
1654510733000,[Worker-07c5123593e55895a] 	offset.flush.interval.ms = 60000
1654510733000,[Worker-07c5123593e55895a] 	offset.flush.timeout.ms = 5000
1654510733000,[Worker-07c5123593e55895a] 	offset.storage.partitions = 25
1654510733000,[Worker-07c5123593e55895a] 	offset.storage.replication.factor = 2
